Nombre,Contrato 2024,Equipo 2024,Contrato 2023,Equipo 2023,Contrato 2022,Equipo 2022,Contrato 2021,Equipo 2021,Contrato 2020,Equipo 2020,RANK 2024,AGE 2024,GP 2024,W 2024,L 2024,MIN 2024,PTS 2024,FGM 2024,FGA 2024,FG% 2024,3PM 2024,3PA 2024,3P% 2024,FTM 2024,FTA 2024,FT% 2024,OREB 2024,DREB 2024,REB 2024,AST 2024,TOV 2024,STL 2024,BLK 2024,PF 2024,FP 2024,DD2 2024,TD3 2024,+/- 2024,RANK 2023,AGE 2023,GP 2023,W 2023,L 2023,MIN 2023,PTS 2023,FGM 2023,FGA 2023,FG% 2023,3PM 2023,3PA 2023,3P% 2023,FTM 2023,FTA 2023,FT% 2023,OREB 2023,DREB 2023,REB 2023,AST 2023,TOV 2023,STL 2023,BLK 2023,PF 2023,FP 2023,DD2 2023,TD3 2023,+/- 2023,RANK 2022,AGE 2022,GP 2022,W 2022,L 2022,MIN 2022,PTS 2022,FGM 2022,FGA 2022,FG% 2022,3PM 2022,3PA 2022,3P% 2022,FTM 2022,FTA 2022,FT% 2022,OREB 2022,DREB 2022,REB 2022,AST 2022,TOV 2022,STL 2022,BLK 2022,PF 2022,FP 2022,DD2 2022,TD3 2022,+/- 2022,RANK 2021,AGE 2021,GP 2021,W 2021,L 2021,MIN 2021,PTS 2021,FGM 2021,FGA 2021,FG% 2021,3PM 2021,3PA 2021,3P% 2021,FTM 2021,FTA 2021,FT% 2021,OREB 2021,DREB 2021,REB 2021,AST 2021,TOV 2021,STL 2021,BLK 2021,PF 2021,FP 2021,DD2 2021,TD3 2021,+/- 2021,RANK 2020,AGE 2020,GP 2020,W 2020,L 2020,MIN 2020,PTS 2020,FGM 2020,FGA 2020,FG% 2020,3PM 2020,3PA 2020,3P% 2020,FTM 2020,FTA 2020,FT% 2020,OREB 2020,DREB 2020,REB 2020,AST 2020,TOV 2020,STL 2020,BLK 2020,PF 2020,FP 2020,DD2 2020,TD3 2020,+/- 2020
DEWANNA BONNER,200000.0,CON,899480.0,CON,899480.0,CON,899480.0,CON,899480.0,CON,22,37,40,28,12,31.8,15.0,5.3,12.8,41.5,1.5,4.9,29.4,3.0,3.6,83.2,0.6,5.4,6.0,2.0,1.4,1.2,0.7,1.8,28.1,3,0,6.1,14,36,40,27,13,30.1,17.4,5.8,13.7,42.5,1.9,5.7,32.9,3.9,4.5,86.2,0.9,4.7,5.6,2.2,1.5,1.1,0.6,1.6,30.4,3,0,4.7,26,35,33,23,10,30.0,13.5,4.7,10.8,43.9,1.4,4.2,32.9,2.6,3.2,82.7,0.8,4.0,4.7,2.8,1.6,1.2,0.3,1.8,25.5,2,0,6.1,16,34,32,26,6,31.9,15.2,5.0,12.6,39.5,1.4,4.3,31.7,3.9,4.3,89.2,0.7,5.8,6.4,3.4,2.2,1.3,0.7,1.6,30.3,4,0,8.7,3,33,22,10,12,33.3,19.7,6.7,16.0,42.2,1.2,4.9,25.2,5.0,5.6,89.5,1.5,6.3,7.8,3.0,2.4,1.7,0.5,2.1,36.2,5,0,2.8
ELENA DELLE DONNE,,,899480.0,WAS,899480.0,WAS,899480.0,WAS,899480.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,34,23,13,10,27.5,16.7,6.2,12.7,48.5,1.0,2.7,39.3,3.3,3.5,93.8,0.9,4.6,5.4,2.1,1.3,0.8,0.9,1.9,28.7,2,0,5.3,9,33,25,18,7,27.8,17.2,6.2,12.9,48.0,1.4,3.8,36.8,3.4,3.7,91.3,1.2,5.1,6.3,2.3,1.1,0.5,1.1,1.4,30.3,3,0,6.3,26,32,3,1,2,17.4,13.7,4.3,9.0,48.1,1.0,1.7,60.0,4.0,4.0,100,1.0,3.3,4.3,0.7,0.7,0.0,0.3,0.7,20.3,0,0,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKYLAR DIGGINS-SMITH,422685.0,SEA,899480.0,PHX,899480.0,PHX,899480.0,PHX,899480.0,PHX,20,34,40,25,15,31.6,15.1,5.5,12.8,42.7,1.0,3.4,29.1,3.3,3.8,86.7,0.7,1.9,2.6,6.4,2.8,1.7,0.9,2.8,30.4,2,0,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,32,30,13,17,34.0,19.7,6.9,16.2,42.9,1.3,4.5,29.6,4.5,5.3,84.4,0.9,3.1,4.0,5.5,2.7,1.5,1.0,2.7,35.7,3,0,-1.0,9,31,32,19,13,32.5,17.7,5.5,12.3,45.2,1.6,4.2,37.0,5.1,6.2,81.8,0.5,2.6,3.2,5.3,2.6,1.1,0.8,2.2,31.3,3,0,5.0,8,30,22,13,9,30.7,17.7,5.8,12.2,47.4,2.1,5.3,39.7,4.1,4.5,90.0,0.5,2.8,3.3,4.2,3.2,0.9,0.5,2.3,30.2,0,0,-1.9
NATASHA HOWARD,898700.0,DAL,898700.0,DAL,898700.0,NY,898700.0,NY,345000.0,SEA,13,33,27,7,20,30.5,17.6,6.9,15.2,45.6,0.4,2.0,20.0,3.3,4.6,71.8,2.0,4.8,6.7,2.9,2.8,1.3,0.8,3.1,31.7,4,0,-5.6,18,32,39,21,18,33.0,16.5,6.3,13.8,45.8,1.0,3.3,29.9,2.8,3.5,81.5,2.2,5.9,8.0,2.6,2.8,1.3,1.2,3.6,32.9,12,1,2.9,16,31,35,16,19,29.9,15.1,5.9,12.2,48.2,0.9,2.6,32.6,2.5,3.5,71.5,2.0,5.3,7.3,2.3,3.2,1.3,1.0,3.1,30.2,10,0,-0.7,14,30,13,4,9,27.5,16.2,6.7,13.5,49.4,0.9,2.8,33.3,1.8,2.4,77.4,2.2,5.1,7.2,1.7,3.8,1.3,0.5,2.9,29.7,4,0,-5.3,53,29,22,18,4,21.0,9.5,4.0,7.5,53.0,0.3,0.9,35.0,1.3,1.6,77.8,2.4,4.7,7.1,1.0,2.1,1.7,0.6,3.0,22.6,3,0,7.4
ALYSSA THOMAS,836000.0,CON,836000.0,CON,836000.0,CON,836000.0,CON,345000.0,CON,41,32,40,28,12,32.4,10.6,4.2,8.2,50.9,0.0,0.1,0.0,2.3,3.6,62.8,2.5,6.0,8.4,7.9,3.6,1.6,0.5,2.1,30.9,14,3,4.8,22,32,40,27,13,36.1,15.5,6.1,12.8,47.4,0.0,0.1,0.0,3.3,4.7,71.5,2.0,7.9,9.9,7.9,3.4,1.8,0.5,2.7,37.8,28,6,5.6,27,31,36,25,11,32.1,13.4,5.2,10.4,50.0,0.0,0.1,0.0,3.0,4.1,73.0,2.1,6.1,8.2,6.1,2.9,1.7,0.2,2.8,31.5,12,2,7.3,93,30,2,2,0,17.4,5.5,2.0,7.5,26.7,0.0,0.0,0.0,1.5,2.0,75.0,0.5,4.5,5.0,2.0,1.5,0.5,0.0,2.0,13.5,0,0,9.0,16,29,21,10,11,32.8,15.5,5.8,11.6,50.0,0.0,0.0,0.0,3.9,5.6,68.6,1.9,7.2,9.0,4.8,2.5,2.0,0.3,2.8,33.9,7,0,2.7
ARIKE OGUNBOWALE,725952.0,DAL,725952.0,DAL,220235.0,DAL,220235.0,DAL,220235.0,DAL,2,27,38,9,29,38.6,22.2,7.3,19.2,38.3,2.9,8.5,34.6,4.6,5.0,92.1,0.8,3.8,4.6,5.1,2.7,2.1,0.3,2.8,39.7,2,0,-6.6,5,27,40,22,18,37.2,21.2,7.5,18.8,39.8,2.9,8.5,34.3,3.4,3.8,87.6,0.5,2.9,3.4,4.5,2.6,1.7,0.1,2.7,35.7,2,0,3.6,4,26,30,14,16,31.4,19.7,6.8,17.0,40.0,2.8,7.9,35.2,3.3,4.1,79.8,0.6,2.7,3.3,3.6,1.8,1.5,0.1,2.2,32.5,0,0,0.1,5,25,32,14,18,31.4,18.7,6.2,16.3,38.3,2.5,6.7,37.6,3.8,4.4,86.4,0.7,2.5,3.2,3.3,2.1,1.2,0.0,2.3,30.0,0,0,-1.5,1,24,22,8,14,34.0,22.8,7.9,19.1,41.2,2.2,6.5,33.6,4.9,5.7,85.6,0.5,2.3,2.8,3.4,2.0,1.5,0.0,2.4,34.2,0,0,-1.2
MARINA MABREY,620000.0,CON,620000.0,CHI,189522.0,DAL,189522.0,DAL,189522.0,DAL,26,28,40,20,20,30.9,14.4,5.4,13.0,41.3,2.5,6.5,37.7,1.2,1.7,71.0,0.6,3.8,4.4,4.1,2.4,1.1,0.4,2.6,28.4,1,0,2.7,26,27,39,17,22,30.0,15.0,5.2,12.6,41.1,2.3,5.8,39.0,2.4,2.8,83.6,0.9,2.9,3.7,3.6,2.2,0.7,0.5,2.4,27.0,0,0,-0.5,24,26,34,18,16,28.0,13.6,5.2,12.5,42.0,1.8,5.1,35.1,1.4,2.0,68.1,0.6,3.1,3.6,3.7,2.4,0.8,0.4,2.5,25.2,1,0,-0.1,30,25,32,14,18,24.2,13.3,4.9,12.2,40.5,2.0,5.8,34.2,1.4,1.6,88.2,0.7,3.2,3.9,2.9,2.1,1.0,0.3,2.5,24.6,0,0,0.2,45,24,18,6,12,22.4,10.6,3.8,8.8,43.0,2.1,5.1,41.8,0.9,1.3,66.7,0.6,2.7,3.3,2.4,1.7,1.4,0.1,2.1,21.3,0,0,-1.2
CHEYENNE PARKER-TYUS,618000.0,IND,618000.0,IND,618000.0,IND,232178.0,IND,232178.0,IND,54,32,25,9,16,19.7,9.2,3.3,7.5,44.4,0.1,0.6,21.4,2.5,2.8,89.9,1.2,3.6,4.8,1.5,2.1,0.8,0.4,2.4,18.1,0,0,-4.2,25,31,40,19,21,26.6,15.0,5.8,12.0,48.2,0.4,1.4,27.8,3.0,3.7,82.9,2.2,4.5,6.7,1.8,2.3,1.1,1.5,2.9,28.9,7,0,-0.9,36,30,36,14,22,26.2,11.8,4.9,9.8,50.0,0.3,1.5,21.8,1.7,2.2,79.5,1.6,4.5,6.2,2.0,2.0,1.0,0.9,2.7,24.1,5,0,-2.9,47,29,13,2,11,20.8,10.2,3.8,8.5,45.0,0.8,2.3,33.3,1.7,2.2,78.6,1.0,3.5,4.5,1.2,1.2,1.2,0.9,2.2,20.8,0,0,-3.9,29,28,20,10,10,24.9,13.4,4.9,8.8,55.4,0.8,1.6,46.9,3.0,3.5,85.5,2.4,4.1,6.4,1.5,2.8,1.3,0.9,3.2,26.5,3,0,2.2
AERIAL POWERS,155000.0,ATL,588801.0,MIN,588801.0,MIN,588801.0,MIN,,,57,30,17,7,10,17.9,8.6,2.9,8.1,35.5,0.8,2.1,38.9,2.0,2.5,79.1,0.9,2.4,3.3,1.4,1.1,0.9,0.2,2.1,16.5,0,0,-4.2,87,30,20,7,13,9.7,5.2,1.9,4.6,41.3,0.3,1.0,31.6,1.1,1.2,91.7,0.3,1.5,1.8,0.8,0.9,0.2,0.1,0.3,8.6,0,0,-2.1,20,29,35,13,22,27.0,14.4,4.9,12.6,38.5,0.9,3.1,30.8,3.8,4.6,81.5,1.3,3.4,4.7,2.9,2.6,1.2,0.3,1.8,25.9,3,0,-3.7,28,28,14,10,4,22.1,13.4,4.4,10.2,42.7,0.8,2.5,31.4,3.9,4.3,91.7,0.9,2.7,3.6,2.1,2.9,0.4,0.4,2.1,21.4,0,0,3.4,13,27,6,3,3,29.8,16.3,5.3,11.5,46.4,1.5,4.3,34.6,4.2,5.0,83.3,0.3,4.5,4.8,2.5,1.8,1.5,0.0,2.7,28.2,0,0,7.2
BETNIJAH LANEY,365400.0,NY,588801.0,NY,588801.0,NY,588801.0,NY,182700.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAYLA MCBRIDE,413000.0,MIN,588801.0,MIN,588801.0,MIN,588801.0,MIN,232000.0,LV,21,32,39,30,9,31.7,15.0,4.5,10.6,42.0,2.7,6.6,40.7,3.4,3.8,89.3,0.4,2.2,2.6,3.2,2.0,1.3,0.1,1.2,26.1,0,0,7.7,28,32,38,19,19,31.8,14.3,4.9,11.6,42.4,2.2,6.4,34.2,2.2,2.6,86.7,0.4,2.8,3.2,2.2,1.7,1.2,0.2,1.7,24.7,0,0,-3.7,29,31,31,14,17,29.8,13.3,4.4,10.9,40.5,1.5,4.3,35.6,2.9,3.2,90.9,0.5,2.3,2.8,2.1,1.5,1.0,0.1,1.4,21.8,0,0,0.1,25,30,32,22,10,31.6,13.7,4.5,10.3,43.3,1.9,5.0,37.9,2.8,3.1,91.0,0.3,3.3,3.6,2.3,1.1,0.8,0.2,1.8,23.4,0,0,3.8,37,29,22,18,4,26.6,12.5,4.1,9.6,42.5,1.1,3.3,34.2,3.2,3.5,89.7,0.4,1.9,2.3,2.4,1.4,1.2,0.1,1.4,20.9,0,0,4.6
TEAIRA MCCOWAN,587100.0,DAL,587100.0,DAL,168754.0,DAL,168754.0,IND,168754.0,IND,37,28,39,9,30,25.2,11.7,4.7,8.3,57.0,0.0,0.1,25.0,2.3,3.2,71.8,2.9,5.2,8.1,1.6,2.0,0.9,0.9,3.0,24.9,13,0,-4.1,36,27,30,18,12,26.1,11.9,5.0,9.1,55.1,0.0,0.1,0.0,1.9,3.3,58.6,3.5,5.6,9.1,1.5,1.5,0.5,1.2,3.3,25.9,13,0,5.7,43,26,33,17,16,18.9,11.0,4.2,7.0,60.2,0.0,0.0,0.0,2.5,4.2,60.0,3.0,4.1,7.0,0.8,1.7,0.3,0.7,3.1,20.8,10,0,2.2,41,25,32,6,26,26.5,11.3,4.3,8.0,53.7,0.0,0.0,0.0,2.7,4.1,64.4,3.4,6.2,9.6,1.1,1.7,0.6,1.6,3.3,26.3,12,0,-3.1,43,24,22,6,16,20.9,10.9,4.1,7.6,53.6,0.0,0.1,0.0,2.7,3.6,75.0,3.1,4.2,7.3,0.6,2.0,0.3,1.0,2.6,21.5,5,0,-3.2
BRITTNEY SYKES,575000.0,WAS,575000.0,WAS,223300.0,LA,223300.0,LA,209712.0,LA,34,30,18,9,9,23.3,12.2,4.5,11.1,40.5,0.9,3.3,27.1,2.3,3.1,75.0,0.6,3.4,4.1,3.1,2.2,0.9,0.4,1.4,22.8,1,0,0.5,21,30,40,19,21,31.3,15.9,5.7,13.1,43.9,1.4,4.0,35.0,3.1,3.8,79.7,1.0,4.0,5.0,3.8,2.4,2.1,0.3,2.9,30.9,2,0,1.5,33,29,32,10,22,28.8,12.7,4.8,11.0,43.3,0.4,1.6,26.9,2.7,3.5,77.0,0.7,2.9,3.7,3.7,2.6,2.0,0.7,2.6,25.9,0,0,-5.2,52,28,32,12,20,29.4,9.4,3.6,8.9,40.5,0.3,1.3,26.2,1.9,2.5,77.2,1.2,3.4,4.6,2.2,1.4,1.8,0.5,2.5,21.1,2,0,-0.9,49,27,21,14,7,24.4,10.1,3.5,7.1,48.7,0.8,2.3,32.7,2.4,3.0,80.6,0.8,1.8,2.6,2.1,1.7,1.5,0.3,3.0,19.1,0,0,4.1
CHEYENNE PARKER,571650.0,ATL,571650.0,ATL,571650.0,ATL,571650.0,ATL,220000.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JASMINE THOMAS,,,565000.0,LA,565000.0,CON,565000.0,CON,237000.0,CON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,34,32,12,20,12.8,2.7,0.9,3.4,27.3,0.5,1.9,24.2,0.3,0.3,90.9,0.3,0.8,1.1,1.3,0.7,0.3,0.2,0.9,6.4,0,0,-1.6,83,33,5,4,1,21.8,6.6,1.6,6.0,26.7,1.0,2.6,38.5,2.4,2.6,92.3,0.4,1.8,2.2,3.0,1.4,0.6,0.2,1.4,14.4,0,0,6.8,44,32,30,24,6,29.6,10.6,3.8,9.8,38.6,1.4,3.5,40.0,1.6,1.9,87.5,0.4,2.0,2.4,4.0,2.2,1.3,0.2,1.8,21.4,0,0,9.5,47,31,19,9,10,25.5,10.2,4.0,9.9,40.4,1.1,3.3,33.3,1.1,1.2,91.3,0.2,1.5,1.7,4.0,2.4,1.3,0.3,1.6,20.1,0,0,3.7
NATASHA CLOUD,400000.0,PHX,565000.0,WAS,565000.0,WAS,565000.0,WAS,232000.0,WAS,39,32,38,18,20,33.3,11.5,4.0,10.1,39.7,1.2,3.8,30.8,2.4,2.9,82.6,0.5,3.6,4.1,6.9,3.0,1.4,0.6,2.7,27.7,8,0,-2.3,32,32,37,17,20,32.4,12.7,4.0,10.7,37.7,1.2,4.1,29.8,3.4,3.8,90.0,0.2,3.5,3.7,6.2,2.6,1.1,0.3,2.6,26.5,2,0,-0.2,45,31,34,21,13,31.3,10.7,3.6,9.1,39.9,1.3,4.0,31.9,2.2,2.7,82.4,0.5,3.1,3.6,7.0,2.8,1.0,0.3,1.6,25.2,4,0,4.1,59,30,27,11,16,31.6,8.7,3.0,7.7,38.9,1.0,3.5,27.4,1.7,2.0,83.6,0.4,3.2,3.6,6.4,2.2,1.4,0.1,2.3,22.7,2,0,-2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAPHEESA COLLIER,552516.0,MIN,552516.0,MIN,552516.0,MIN,220235.0,MIN,220235.0,MIN,5,28,34,27,7,34.7,20.4,7.9,16.0,49.2,0.9,2.9,31.0,3.7,4.6,80.4,2.2,7.5,9.7,3.4,2.1,1.9,1.4,2.6,41.1,18,0,9.2,4,27,37,17,20,33.5,21.5,8.0,16.6,48.5,0.9,3.1,29.8,4.5,5.4,84.0,1.9,6.6,8.5,2.5,2.4,1.6,1.2,2.4,39.1,11,0,-2.8,71,26,4,2,2,22.7,7.3,2.8,6.5,42.3,0.5,1.8,28.6,1.3,1.8,71.4,0.5,2.5,3.0,1.0,0.3,0.5,0.3,2.3,13.3,0,0,-3.8,13,25,29,22,7,34.6,16.2,6.0,13.7,44.1,0.7,2.9,25.3,3.4,3.9,86.0,1.7,4.9,6.6,3.2,2.3,1.3,1.3,2.8,31.9,5,0,5.3,15,24,22,14,8,34.2,16.1,6.2,11.8,52.3,0.9,2.2,40.8,2.9,3.5,82.9,2.8,6.3,9.0,3.3,2.7,1.8,1.3,2.7,35.6,7,0,4.9
MYISHA HINES-ALLEN,525300.0,MIN,525300.0,WAS,525300.0,WAS,184614.0,WAS,184614.0,WAS,61,29,40,17,23,18.7,7.8,3.0,6.1,49.2,0.5,1.3,36.0,1.4,1.7,83.3,1.1,3.6,4.7,2.6,1.4,0.7,0.1,2.0,17.0,2,0,-3.0,83,29,35,16,19,17.6,5.6,2.1,6.1,34.0,0.5,1.9,27.3,0.9,1.3,71.7,1.1,3.3,4.4,2.2,1.5,0.7,0.2,2.2,14.4,0,0,-1.4,56,28,34,20,14,19.3,8.9,3.4,8.1,41.5,0.9,2.3,36.7,1.3,1.9,70.3,1.1,4.2,5.3,1.9,1.7,0.8,0.3,1.6,19.1,1,0,0.3,32,27,18,6,12,25.7,12.9,4.9,11.9,41.4,0.7,2.3,31.7,2.3,3.1,73.2,1.8,5.2,7.0,2.5,1.8,1.3,0.6,2.5,27.0,3,0,-2.9,12,26,22,9,13,29.9,17.0,6.8,13.4,51.0,1.2,2.8,42.6,2.2,2.6,82.8,1.6,7.3,8.9,2.6,2.2,1.5,0.2,2.9,33.0,10,0,2.2
JACKIE YOUNG,504900.0,LV,504900.0,LV,504900.0,LV,236283.0,LV,236283.0,LV,18,27,37,25,12,32.6,15.8,5.4,12.6,43.0,1.9,5.6,33.7,3.0,3.5,86.7,0.7,3.6,4.4,5.3,2.1,1.0,0.2,2.5,29.8,5,0,4.1,11,26,40,34,6,31.5,17.6,6.2,11.9,52.3,2.2,5.0,44.9,2.9,3.4,86.7,0.7,3.4,4.0,3.8,1.8,1.3,0.1,2.0,30.5,1,0,12.8,14,25,34,24,10,33.2,15.9,5.6,11.8,47.6,1.5,3.4,43.1,3.2,3.8,85.9,1.3,3.1,4.4,3.9,1.3,1.4,0.2,2.4,28.9,0,0,6.6,33,24,32,24,8,31.8,12.2,4.8,9.6,50.5,0.2,0.6,25.0,2.3,2.8,83.3,0.7,3.4,4.1,3.2,1.5,1.1,0.3,1.8,22.6,2,0,9.7,42,23,22,18,4,25.8,11.0,4.2,8.6,49.2,0.1,0.6,23.1,2.4,2.8,85.2,0.8,3.5,4.3,3.0,1.6,0.7,0.1,1.8,20.0,0,0,5.6
ALLISHA GRAY,494400.0,ATL,494400.0,ATL,494400.0,DAL,494400.0,DAL,,,19,29,40,15,25,33.2,15.6,5.1,12.7,40.3,1.7,5.1,34.2,3.6,4.7,76.9,1.1,3.3,4.4,2.7,1.7,1.1,0.7,2.4,27.9,1,0,-0.5,15,29,38,19,19,32.7,17.1,5.8,12.4,46.5,1.1,3.1,35.6,4.4,5.4,82.4,1.2,3.7,4.9,3.1,1.9,1.1,0.4,2.6,29.1,2,0,-1.1,28,28,33,18,15,32.9,13.3,4.4,10.5,42.3,1.9,4.8,40.8,2.5,3.2,79.8,0.9,3.9,4.8,2.5,1.3,1.1,0.7,2.4,26.3,1,0,2.4,36,27,25,12,13,27.8,11.9,4.2,9.7,43.8,1.2,3.3,36.6,2.2,2.6,86.2,1.3,3.9,5.2,1.7,1.4,1.0,0.8,2.1,23.7,3,0,0.5,31,26,20,7,13,26.2,13.1,4.6,9.8,46.4,1.3,3.6,35.2,2.7,3.3,83.1,1.4,2.9,4.2,1.3,1.1,1.1,0.3,1.9,22.6,0,0,0.7
MERCEDES RUSSELL,480000.0,SEA,480000.0,SEA,480000.0,SEA,141618.0,SEA,141618.0,SEA,103,29,37,25,12,15.8,3.9,1.7,3.2,51.7,0.0,0.0,0.0,0.6,0.9,63.6,0.7,2.3,3.0,0.8,0.7,0.6,0.2,1.2,9.4,0,0,0.9,89,28,37,11,26,19.1,5.0,2.2,4.2,51.6,0.0,0.0,0.0,0.6,1.0,60.5,1.1,3.0,4.0,1.3,1.5,0.4,0.5,1.5,12.1,1,0,-4.0,144,27,5,3,2,10.7,2.0,0.8,1.6,50.0,0.0,0.0,0.0,0.4,0.6,66.7,0.4,1.4,1.8,0.2,1.4,0.0,0.0,1.4,4.0,0,0,-8.8,70,26,30,20,10,24.7,7.3,3.1,5.0,61.7,0.0,0.0,0.0,1.2,1.6,76.6,1.7,4.5,6.1,1.6,1.2,0.9,0.4,2.6,17.7,2,0,4.6,111,25,22,18,4,13.8,3.5,1.5,3.5,41.0,0.0,0.0,0.0,0.6,1.1,56.0,0.7,2.5,3.2,0.6,0.7,0.4,0.4,1.0,8.8,0,0,3.7
NATALIE ACHONWA,,,479600.0,MIN,479600.0,MIN,479600.0,MIN,212000.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,30,22,11,11,15.1,5.3,2.1,4.1,51.6,0.0,0.1,0.0,1.0,1.2,81.5,1.1,3.0,4.1,1.7,1.0,0.4,0.3,1.6,12.5,0,0,-0.3,112,29,21,14,7,12.0,3.7,1.2,2.9,42.6,0.0,0.0,0.0,1.2,1.3,89.3,0.6,1.6,2.1,1.2,0.6,0.6,0.2,1.6,8.6,0,0,1.0,61,28,18,4,14,20.2,7.8,3.2,6.4,49.6,0.0,0.6,0.0,1.4,1.8,81.3,1.4,4.1,5.5,1.7,1.8,0.5,0.6,2.6,17.2,0,0,-6.2
